Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Isolation Forest,0.9394723228142783,0.4433497536945813,0.9574468085106383,0.6060606060606061,0.978740758737982
One-Class SVM,0.9317123642007242,0.40865384615384615,0.9042553191489362,0.5629139072847682,0.9605937547001723
Local Outlier Factor,0.942058975685463,0.45054945054945056,0.8723404255319149,0.5942028985507246,0.9657769601888166
Elliptic Envelope,0.9374030005173306,0.43349753694581283,0.9361702127659575,0.5925925925925926,0.9746277463468813
Gaussian Mixture Model,0.9353336782203828,0.424390243902439,0.925531914893617,0.5819397993311036,0.9718394594657133
